"primary_spa_name","primary_spa_city","competitor_rank","competitor_name","competitor_review_count","competitor_star_rating","competitor_distance_miles","competitor_gbp_url"
"Timeless Beauty Med Spa","Dallas","1","Bella MedSpa - Dallas MedSpa","508","4.8","0.76","https://www.google.com/maps/search/?api=1&query=Bella%20MedSpa%20-%20Dallas%20MedSpa&query_place_id=ChIJhXBDi2OZToYReAfRqIZuXdM"
"Timeless Beauty Med Spa","Dallas","2","Calypso Aesthetic Lab","203","5.0","3.02","https://www.google.com/maps/search/?api=1&query=Calypso%20Aesthetic%20Lab&query_place_id=ChIJTTvaCtqdToYRYdiL9GnoJuk"
"Timeless Beauty Med Spa","Dallas","3","VIV Wellness","111","5.0","2.72","https://www.google.com/maps/search/?api=1&query=VIV%20Wellness&query_place_id=ChIJ53d-3qSZToYRbwVvERiF6kc"
"SkinSpaMED","Dallas","1","NakedMD Med Spa Dallas","582","4.9","3.15","https://www.google.com/maps/search/?api=1&query=NakedMD%20Med%20Spa%20Dallas&query_place_id=ChIJj2R7CNAhTIYR-jVvd4jqwYQ"
"SkinSpaMED","Dallas","2","OMNI SCULPT MD: Med Spa","463","5.0","4.12","https://www.google.com/maps/search/?api=1&query=OMNI%20SCULPT%20MD%3A%20Med%20Spa&query_place_id=ChIJeXuQkfShToYRv2GPVWSAB98"
"SkinSpaMED","Dallas","3","Lily Aesthetics & Wellness","166","4.8","1.35","https://www.google.com/maps/search/?api=1&query=Lily%20Aesthetics%20%26%20Wellness&query_place_id=ChIJx9w0IBAhTIYRINvY5qzWl68"
"UPKEEP Med Spa","Dallas","1","It's A Secret Med Spa","574","4.6","1.05","https://www.google.com/maps/search/?api=1&query=It's%20A%20Secret%20Med%20Spa&query_place_id=ChIJsSzHhjGZToYRNTzakPv8gq8"
"UPKEEP Med Spa","Dallas","2","OVME","250","4.8","1.13","https://www.google.com/maps/search/?api=1&query=OVME&query_place_id=ChIJW8NOn-mfToYRou8QHdl_Iu8"
"UPKEEP Med Spa","Dallas","3","Aurum Health","244","4.9","0.34","https://www.google.com/maps/search/?api=1&query=Aurum%20Health&query_place_id=ChIJD8LET6GZToYRSleYd2kkdPw"
"It's A Secret Med Spa","Fort Worth","1","Fort Worth Plastic Surgery","1067","4.9","1.12","https://www.google.com/maps/search/?api=1&query=Fort%20Worth%20Plastic%20Surgery&query_place_id=ChIJN_KWUnxxToYRHRG-7_D-ta0"
"It's A Secret Med Spa","Fort Worth","2","Vitalyc Medspa","383","4.9","1.58","https://www.google.com/maps/search/?api=1&query=Vitalyc%20Medspa&query_place_id=ChIJRf3MEfRzToYR5MtfLITGIXY"
